Full Name,Year of Birth,Year of Death,Era,Number of links,Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10
Antonio Vivaldi,1678,1741,Baroque,5,https://www.youtube.com/watch?v=y3nm7Pg0HN8,https://www.youtube.com/watch?v=gA2GCF6v-s0&t=646s,https://www.youtube.com/watch?v=Z4ME2cdXHVE,https://www.youtube.com/watch?v=4y6PV1jwX9I,https://www.youtube.com/watch?v=RZYzD7iVmmM,,,,,
Johann Sebastian Bach,1685,1750,Baroque,10,https://www.youtube.com/watch?v=EWcdbjsgQNQ,https://www.youtube.com/watch?v=niC1gQRZaoY,https://www.youtube.com/watch?v=hyUhEjtlDLA,https://www.youtube.com/watch?v=mgYZJSzUrrg,https://www.youtube.com/watch?v=GMkmQlfOJDk,https://www.youtube.com/watch?v=ho9rZjlsyYY,https://www.youtube.com/watch?v=Y9OUfBDIGhw,https://www.youtube.com/watch?v=dTtSLg3HzRo,https://www.youtube.com/watch?v=K9ytFf2Vwbo,https://www.youtube.com/watch?v=3FLbiDrn8IE&t=5344s
George Frideric Handel,1685,1759,Baroque,5,https://www.youtube.com/watch?v=mAyiidg25uE,https://www.youtube.com/watch?v=u-qHtYfktiQ,https://www.youtube.com/watch?v=BoJofMEA2Y8,https://www.youtube.com/watch?v=pzYy72Gnzc0,https://www.youtube.com/watch?v=8QNlInvm7p0&t=2193s,,,,,
Georg Philipp Telemann,1681,1767,Baroque,6,https://www.youtube.com/watch?v=AHZPTY1IZD8&t=3906s,https://www.youtube.com/watch?v=veearQdJHqQ,https://www.youtube.com/watch?v=2OBp0DzAn3Q,https://www.youtube.com/watch?v=zNozl3wz3NQ,https://www.youtube.com/watch?v=EV7HaPfqj08,https://www.youtube.com/watch?v=icMIW2270ho,,,,
Henry Purcell,1659,1695,Baroque,4,https://www.youtube.com/watch?v=PmCpqC03hMc,https://www.youtube.com/watch?v=GqT92klqOoI,https://www.youtube.com/watch?v=aEDxghvaR2U,https://www.youtube.com/watch?v=3Uao2f06q3Y,,,,,,
Arcangelo Corelli,1653,1713,Baroque,4,https://www.youtube.com/watch?v=Q-qcWulph_I,https://www.youtube.com/watch?v=vN5_481hImM,https://www.youtube.com/watch?v=4aR33ghhpdY,https://www.youtube.com/watch?v=QT92ENEflLI,,,,,,
Claudio Monteverdi,1567,1643,Baroque,3,https://www.youtube.com/watch?v=RajAq0Yd-s4,https://www.youtube.com/watch?v=-GrnwzEhi_E,https://www.youtube.com/watch?v=oYdnUHCpomQ,,,,,,,
Tomaso Albinoni,1671,1751,Baroque,3,https://www.youtube.com/watch?v=ODhNU0hi8CU,https://www.youtube.com/watch?v=WMLSwqAOzHo,https://www.youtube.com/watch?v=VE1Rm-bv6no,,,,,,,
Alessandro Scarlatti,1660,1725,Baroque,5,https://www.youtube.com/watch?v=gEi3kDgDKkQ,https://www.youtube.com/watch?v=dTFdlhvuRo4,https://www.youtube.com/watch?v=P9m-R5r6VLc,https://www.youtube.com/watch?v=9ZGtTBp7r-o,https://www.youtube.com/watch?v=X7vsERSW7tw,,,,,
Giuseppe Tartini,1692,1770,Baroque,4,https://www.youtube.com/watch?v=z7rxl5KsPjs,https://www.youtube.com/watch?v=0kdK-7tc5NA,https://www.youtube.com/watch?v=WfBtFUOyJ8M,https://www.youtube.com/watch?v=GxPSKwvbRY4,,,,,,
Carl Phillip Emanuel Bach,1714,1788,Classical,4,https://www.youtube.com/watch?v=2PJ6TiWIw08,https://www.youtube.com/watch?v=qrj0yb_YbI4,https://www.youtube.com/watch?v=zr8TU1mJ2sk,https://www.youtube.com/watch?v=_ht9axvhJqQ,,,,,,
Joseph Haydn,1732,1809,Classical,3,https://www.youtube.com/watch?v=bA2euxp3b3Y,https://www.youtube.com/watch?v=KXctarOxRz8,https://www.youtube.com/watch?v=vX_hZPRRERA,,,,,,,
Wolfgang Amadeus Mozart ,1756,1791,Classical,5,https://www.youtube.com/watch?v=df-eLzao63I,https://www.youtube.com/watch?v=N4BH3G_R9wY,https://www.youtube.com/watch?v=JTZnuuBIb0M,https://www.youtube.com/watch?v=vne1E6VH23s,https://www.youtube.com/watch?v=XmttZ-BnwaI,,,,,
Michael Haydn,1737,1806,Classical,3,https://www.youtube.com/watch?v=EUKFK2ezoCQ,https://www.youtube.com/watch?v=Ku9ffFEpD1s,https://www.youtube.com/watch?v=qvsJ_ZE1qfw,,,,,,,
Christoph Willibald Gluck,1714,1787,Classical,3,https://www.youtube.com/watch?v=HhGY5AuhItU,https://www.youtube.com/watch?v=JL2jFe1IphY,https://www.youtube.com/watch?v=gfrO9fs7tvQ,,,,,,,
