,surname,firstname,music,nationality,birth,death,youtube_title,youtube_id,similarity,piano_solo_prob,audio_name,audio_duration,giant_midi_piano,split,surname_in_youtube_title,fullname,era
1527,Albinoni,Tomaso,Adagio in G minor,Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,1.0,0.04983511,"Albinoni, Tomaso, Adagio in G minor, u99f9RAvwu4",485.78546875,0.0,,1.0,Tomaso Albinoni,Baroque
1528,Albinoni,Tomaso,Alcina delusa da Ruggero,Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.2,,,,,,,Tomaso Albinoni,Baroque
1529,Albinoni,Tomaso,"Amarissime pene, T.204.03",Italian,1671,1751,"Six Cantatas from Op. 4, Cantata XII, Allegro: L'inferno delle pene in Paradiso",Sib75Etu5XU,0.1666666666666666,,,,,,,Tomaso Albinoni,Baroque
1530,Albinoni,Tomaso,"Il bel ciglio d’Irene, T.204.01",Italian,1671,1751,Tomaso Albinoni: Adagio & Concerti,3NzXzFLYkQ4,0.1111111111111111,,,,,,,Tomaso Albinoni,Baroque
1531,Albinoni,Tomaso,"Clori nel ciel d’amor lucida stella, T.204.15",Italian,1671,1751,Tomaso Albinoni /Clori nel ciel (recit.) Vogli o begl´occhi (aria)Adriana Mayer /Juan C. de Mulder,dGFna9-_XAs,0.3636363636363636,,,,,,,Tomaso Albinoni,Baroque
1532,Albinoni,Tomaso,"Concerto for 2 Oboes in C major, Op.7 No.2",Italian,1671,1751,"Tomaso Albinoni. Concerto а cinque in C, Op.7, No.2 for 2 Oboes, Strings & Continuo",_Vj1lk7N2GM,0.9166666666666666,0.03899077,"Albinoni, Tomaso, Concerto for 2 Oboes in C major, Op.7 No.2, _Vj1lk7N2GM",363.16946875,0.0,,1.0,Tomaso Albinoni,Baroque
1533,Albinoni,Tomaso,"Concerto for 2 Oboes in C major, Op.7 No.5",Italian,1671,1751,"Tomaso Albinoni. Concerto а cinque in C, Op.7, No.5 for 2 Oboes, Strings & Continuo",m178SKw1F7o,0.9166666666666666,0.023369202,"Albinoni, Tomaso, Concerto for 2 Oboes in C major, Op.7 No.5, m178SKw1F7o",323.20946875,0.0,,1.0,Tomaso Albinoni,Baroque
1534,Albinoni,Tomaso,"Concerto for 2 Oboes in D major, Op.7 No.8",Italian,1671,1751,"Tomaso Giovanni Albinoni: Concerto for 2 oboes, strings & b.c. in D major (Op. 7 n. 8)",JmZKFE-qKQY,0.9166666666666666,0.010259244,"Albinoni, Tomaso, Concerto for 2 Oboes in D major, Op.7 No.8, JmZKFE-qKQY",369.10946875,0.0,,1.0,Tomaso Albinoni,Baroque
1535,Albinoni,Tomaso,"Concerto for 2 Oboes in C major, Op.7 No.11",Italian,1671,1751,"Concerto for 2 Oboes in C Major, Op. 7, No. 11: II. Adagio",M8K3nNv9v3I,0.9166666666666666,0.049963858,"Albinoni, Tomaso, Concerto for 2 Oboes in C major, Op.7 No.11, M8K3nNv9v3I",155.95346875,0.0,,0.0,Tomaso Albinoni,Baroque
1536,Albinoni,Tomaso,"Concerto for 2 Oboes in F major, Op.9 No.3",Italian,1671,1751,"T. ALBINONI: Concerto for 2 Oboes in F major Op. 9/3, La Serenissima",wuYvIUY1iWU,0.9166666666666666,0.00840919,"Albinoni, Tomaso, Concerto for 2 Oboes in F major, Op.9 No.3, wuYvIUY1iWU",652.03346875,0.0,,0.0,Tomaso Albinoni,Baroque
