,Unnamed: 0,surname,firstname,music,nationality,birth,death,youtube_title,youtube_id,similarity,piano_solo_prob,audio_name,audio_duration,giant_midi_piano,split,surname_in_youtube_title,fullname,era
106,5839,Bach,Johann Sebastian,"Air in F major, BWV Anh.131",British,1685,1750,"Bach, Air in F major, BWV Anh 131",ofljU7lmZMA,1.0,0.8921551,"Bach, Johann Sebastian, Air in F major, BWV Anh.131, ofljU7lmZMA",60.15746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
120,5853,Bach,Johann Sebastian,"Allemande in C minor, BWV 834",British,1685,1750,Allemande in C Minor (BWV 834) for Harp,0lx-kPXgPw8,0.8571428571428571,0.7907991,"Bach, Johann Sebastian, Allemande in C minor, BWV 834, 0lx-kPXgPw8",285.98546875,1.0,train,0.0,Johann Sebastian Bach,Baroque
121,5854,Bach,Johann Sebastian,"Allemande in G minor, BWV 836",British,1685,1750,"Bach: Allemande in G Minor, BWV 836 (Urtext Edition)",mCCux8jvhkA,1.0,0.9528251,"Bach, Johann Sebastian, Allemande in G minor, BWV 836, mCCux8jvhkA",155.73746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
126,5859,Bach,Johann Sebastian,"Als der gütige Gott vollenden wollt sein Wort, BWV 264",British,1685,1750,Bach - Als der gütige Gott vollenden wollt sein Wort,I69tdLLbIyw,0.8181818181818182,0.6751752,"Bach, Johann Sebastian, Als der gütige Gott vollenden wollt sein Wort, BWV 264, I69tdLLbIyw",41.25746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
133,5866,Bach,Johann Sebastian,"Andante in G minor, BWV 969",British,1685,1750,"Bach, Andante in G minor, BWV 969, Piano",IN5Ma07uT5M,1.0,0.8467406,"Bach, Johann Sebastian, Andante in G minor, BWV 969, IN5Ma07uT5M",111.02546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
135,5868,Bach,Johann Sebastian,"Applicatio in C major, BWV 994",British,1685,1750,"Bach: Applicatio in C Major, BWV 994 (Urtext Edition)",eT0Qcf4C0fI,1.0,0.8989724,"Bach, Johann Sebastian, Applicatio in C major, BWV 994, eT0Qcf4C0fI",72.03746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
139,5872,Bach,Johann Sebastian,"Aria variata in A minor, BWV 989",British,1685,1750,J. S. Bach - Aria variata in A minor BWV 989,cpgCkQXmz8g,1.0,0.9145476,"Bach, Johann Sebastian, Aria variata in A minor, BWV 989, cpgCkQXmz8g",582.22946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
178,5911,Bach,Johann Sebastian,"Capriccio in B-flat major, BWV 992",British,1685,1750,"Johann Sebastian Bach - Capriccio in B flat Major, BWV 992",5Y6D4Y17SVo,1.0,0.9285669,"Bach, Johann Sebastian, Capriccio in B-flat major, BWV 992, 5Y6D4Y17SVo",677.41346875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
203,5936,Bach,Johann Sebastian,"Chromatic Fantasia and Fugue, BWV 903",British,1685,1750,"J.S. Bach Chromatic Fantasia and Fugue in d minor, BWV 903 (Schiff)",lHTMq-5B9Co,1.0,0.9531174,"Bach, Johann Sebastian, Chromatic Fantasia and Fugue, BWV 903, lHTMq-5B9Co",722.88146875,1.0,test,1.0,Johann Sebastian Bach,Baroque
232,5965,Bach,Johann Sebastian,"Duetto No.1 in E minor, BWV 802",British,1685,1750,J.S. Bach - BWV 802 - Duetto No.1 e-moll / E minor,XJDb00Go7vE,0.8888888888888888,0.9142113,"Bach, Johann Sebastian, Duetto No.1 in E minor, BWV 802, XJDb00Go7vE",159.91346875,1.0,train,1.0,Johann Sebastian Bach,Baroque
